"id","latitude","longitude","loc_name","loc_name_la","type_location_id","provinces_id","districts_id","villages_id","user_id","status"
"82","22.1877","101.818",,"ຫີນຮູບພະບາດ",,"2","15",,,
"83","22.1214","101.789",,"ວັດຫົວເມືອງ",,"2","15",,,
"71","21.7275","102.122",,"ບ້ານຂຸນສຸກຫຼວງ",,"2","10",,,
"78","21.7072","101.954",,"ບ້ານຜາປູນໃໝ່",,"2","10",,,
"67","21.684114","102.103995",,"ພູຟ້າ",,"2","10",,,
"69","21.6488","102.139",,"ສວນຊາ 400 ປີ",,"2","10",,,
"72","21.5635","101.935",,"ບ້ານບຸນພຽງ",,"2","14",,,
"77","21.5549","101.995",,"ບ້ານບາການ້ອຍ",,"2","10",,,
"87","21.3614","101.981",,"ວັດວຽງບຸນ",,"2","16",,,
"97","21.3321","101.878",,"ບໍ່ນ້ຳອຸ່ນນາແຕນ",,"2","16",,,
"76","21.1020739","102.2544343",,"ປາກນ້ຳນ້ອຍ",,"2","12",,,
"104","0","0",,"ຖ້ຳກະເດືອງ ",,"2","11",,,
"102","0","0",,"ປ່າສະຫງວນໜອງແຕງ ",,"2","13",,,
"98","0","0",,"ຖ້ຳພະແກ້ວ ",,"2","16",,,
"105","0","0",,"ຖ້ຳຣອນ",,"2","11",,,
"99","0","0",,"ປ່າສະຫງວນນ້ຳລານ ",,"2","16",,,
"106","0","0",,"ຖ້ຳອົມຕຼຶມ ",,"2","11",,,
"95","0","0",,"ນ້ຳຕົກຕາດມັດ",,"2","14",,,
"84","0","0",,"ທາດກິວແອກ",,"2","15",,,
"100","0","0",,"ປ່າສະຫງວນພູເຫຼັກ",,"2","16",,,
"91","0","0",,"ທ່າເຮືອຫາດສາ ເມືອງຜົ້ງສາລີ",,"2","10",,,
"649","0","0",,"ນ້ຳຕົກຕາດມັດທິງ ເມືອງບຸນເໜືອ",,"2","14",,,
"85","0","0",,"ທາດກິ່ວອໍ ເມືອງຍອດອູ",,"2","15",,,
"101","0","0",,"ພູຜາເຜິ້ງ ",,"2","16",,,
"92","0","0",,"ເຂື່ອນໄຟຟ້ານ້ຳງາຍ ເມືອງຜົ້ງສາລີ",,"2","10",,,
"103","0","0",,"ປ່າສະຫງວນພູສະຫງ່າ ",,"2","12",,,
"75","0","0",,"ໜອງຫລວງອູເໜືອ",,"2","15",,,
"96","0","0",,"ປ່າສະຫງວນພູຕາສານ ",,"2","15",,,
"650","0","0",,"ພູຜາເຜິ້ງ ເມືອງບຸນໃຕ້",,"2","16",,,
"93","0","0",,"ໜອງກິນນາລີ ເມືອງຜົ້ງສາລີ",,"2","10",,,
"88","0","0",,"ບ້ານສະນຳເອີປາ ເມືອງສຳພັນ",,"2","13",,,
"79","0","0",,"ວັດຫຼວງອູເໜືອ ເມືອງຍອດອູ",,"2","15",,,
"86","0","0",,"ບ້ານນາຫວາຍ ເມືອງບຸນໃຕ້",,"2","16",,,
"651","0","0",,"ຄ້າຍເກົ່າຝຣັ່ງ ເມືອງຍອດອູ",,"2","16",,,
"94","0","0",,"ປ່າສະຫງວນພູແດນດິນ",,"2","10",,,
"89","0","0",,"ບ້ານຈາຜິວນ້ອຍ ເມືອງສຳພັນ",,"2","13",,,
"80","0","0",,"ທາດວັດຫຼວງອູໃຕ້ ເມືອງຍອດອູ",,"2","15",,,
"107","0","0",,"ປ່າສະຫງວນພູມະຣົກ",,"2","10",,,
"90","0","0",,"ບ້ານພູຊາງເກົ່າ ເມືອງສຳພັນ",,"2","13",,,
"81","0","0",,"ວັດອົງໄຫ ເມືອງຍອດອູ",,"2","15",,,
